best_seller,course_rating_avarage,course_price,num_of_buyers_students,amount_of_instructor_studnets,num_articles,video_time_length,number_of_languages,last_update,instructor_rank,amount_of_what_you_will_learn_count,amount_of_requirments_count,amount_of_companies_support,course_rating_amount
0,4.3,59.9,238,2068,1,9.0,2,485,4.0,5,6,0,38
0,4.2,59.9,2965,231000,41,3.0,2,305,4.2,6,6,0,499
0,3.9,59.9,2018,9617,1,12.5,2,30,4.0,11,7,0,42
0,4.8,59.9,683,128349,1,1.5,2,670,3.9,1,6,0,33
0,4.6,59.9,197,43513,3,5.5,2,185,4.6,4,5,0,24
0,4.6,59.9,60,7727,5,11.0,2,365,4.6,18,6,0,6
0,4.3,59.9,1012,37659,2,14.5,2,215,4.4,7,6,5,98
0,4.6,59.9,3895,725313,2,4.5,2,365,4.1,13,6,5,323
0,4.3,59.9,9444,300481,1,4.5,2,30,3.9,6,6,0,18
0,4.2,59.9,240,3443,1,1.5,2,1310,3.8,6,6,0,55
0,4.3,59.9,8708,147915,1,20.0,2,1610,4.2,3,6,0,897
0,4.4,59.9,192,79712,2,4.5,2,150,4.3,5,6,0,45
0,4.4,59.9,4724,391646,9,18.0,2,215,4.2,8,6,0,32
0,4.5,59.9,29806,725313,11,11.5,2,365,4.1,13,6,0,164
0,4.1,59.9,6505,13534,1,14.0,2,1215,4.0,12,6,0,109
0,4.6,59.9,16163,725313,2,2.0,2,365,4.1,8,6,0,69
0,3.5,59.9,2896,800090,1,6.0,2,1945,4.2,6,5,0,115
0,4.1,59.9,900,10073,1,12.5,2,1065,4.4,3,6,0,100
0,4.5,59.9,6384,160571,3,2.0,2,215,4.4,10,5,0,954
0,3.9,59.9,15501,960,5,18.0,2,425,3.8,10,6,0,73
0,4.4,59.9,265,2522,23,16.5,2,1125,4.2,12,6,0,48
0,4.1,59.9,2833,2833,5,8.0,2,550,4.1,6,6,0,65
0,4.4,59.9,8084,9661,19,5.0,2,850,4.0,7,6,0,59
0,4.1,59.9,33475,725313,1,13.5,2,365,4.1,11,6,0,255
0,4.3,59.9,18569,31277,1,4.0,2,1705,4.1,6,6,0,260
0,4.4,59.9,1717,6294,1,8.0,2,515,4.4,6,5,0,38
0,3.7,59.9,251,32972,6,5.5,2,670,4.4,4,6,0,42
0,4.6,59.9,16621,725313,1,3.0,2,945,4.1,12,6,0,63
0,4.5,59.9,141,14352,2,8.0,2,90,4.3,4,6,0,21
0,4.2,59.9,51902,1917,1,5.0,2,365,4.2,6,6,0,321
